User---------------------------------------------------------------------------------------
	Log Codes Supported by QCAT 06.30.93 patch 01
0x10CD	Reserved
0x10CE	Reserved
0x10CF	Reserved
0x10D0	System Arbitration Module
0x10D1	Reserved
0x10D2	System Determination Last Main Action
0x10D3	System Determination Last Hybrid Action
0x10D6	Broadcast Control Channel Message
0x10D7	Reverse Enhanced Access Channel Message
0x10D8	Forward Common Control Channel Message
0x10D9	RDA Frame Information Version 2
0x10DA	Reserved
0x10DB	Position Engine Full Log
0x10DC	Position Engine Partial Log
0x10DD	Reserved
0x10DE	Reserved
0x10DF	Reserved
0x10E0	Reserved
0x10E1	Reserved
0x10E2	MPEG4 YUV Frame
0x10E3	MPEG4 Clip Statistics
0x10E4	MPEG4 Clip Statistics Ver2
0x10F2	BREW Bucket 0
0x10F3	Reserved
0x10F4	Reserved
0x10F5	Reserved
0x10F6	Reserved
0x10F7	Reserved
0x10F8	Reserved
0x10F9	Reserved
0x10FA	Reserved
0x10FB	Reserved
0x10FC	Reserved
0x10FD	Reserved
0x10FE	Reserved
0x10FF	Reserved
0x1100	Reserved
0x1101	Reserved
0x1102	Reserved
0x1103	Reserved
0x1104	Reserved
0x1105	Reserved
0x1106	Reserved
0x1107	Reserved
0x1108	Reserved
0x1109	Reserved
0x110A	Reserved
0x110B	Reserved
0x110C	Reserved
0x110D	Reserved
0x110E	Reserved
0x110F	Reserved
0x1110	Reserved
0x1111	Reserved
0x1112	Reserved
0x1113	PPP Rx frames, Um iface framed
0x1114	PPP Rx frames, Rm iface framed
0x1115	PPP Rx frames, An iface framed
0x1123	PPP Tx frames, Um iface framed
0x1124	PPP Tx frames, Rm iface framed
0x1125	PPP Tx frames, An iface framed
0x1133	PPP Rx frames, Um iface unframed
0x1134	PPP Rx frames, Rm iface unframed
0x1135	PPP Rx frames, An iface unframed
0x1143	PPP Tx frames, Um iface unframed
0x1144	PPP Tx frames, Rm iface unframed
0x1145	PPP Tx frames, An iface unframed
0x1154	Position Engine Full Log Extended
0x1155	Reserved
0x1156	System Level Task Profiling
0x1157	Per Task Profiling
0x1158	Reserved
0x115E	Position Engine Partial Log Extended
0x115F	Diag Stress Test
0x1160	Reserved
0x1162	RLP RX FDCH Frames
0x1163	RLP TX FDCH Frames
0x1164	QTV Streaming Rx Statistics
0x1165	QTV RTSP Describe
0x1166	QTV RTSP Setup
0x1167	QTV RTSP Play
0x1168	QTV RTSP Pause
0x1169	QTV RTSP Teardown
0x116A	QTV RTSP Server Response
0x116B	QTV RTCP Receiver Report
0x116C	QTV RTCP Sender Report
0x116D	QTV RTP Statistics
0x116E	QTV SDP File
0x116F	QTV RTSP Client Response
0x1170	QTV RTP Header Only
0x1171	QTV RTP Entire Packet
0x1172	QTV RTP Audio Samples
0x1173	QTV RTP Video Samples (All Layers)
0x1174	Searcher4 - 1x CDMA
0x1175	Searcher Sleep Statistics
0x1176	Service Configuration, Version 3
0x1177	Searcher4 - HDR
0x1178	Searcher4 - AFLT
0x1179	Enhanced Finger Information
0x117A	DV Info
0x117B	Reserved
0x117C	Bluetooth FTM Log
0x117D	Reserved
0x117E	Reserved
0x117F	1xEV Multicast Packet Rate Metrics
0x1180	1xEV Multicast Physical Channel Metrics
0x1181	1xEV Multicast ECB Status
0x1182	1xEV Multicast Logical Channel Metrics
0x1183	1xEV Debug Display
0x1184	1xEV Tune Away Info
0x1185	1xEV Tune Away RRI Info
0x1186	1xEV Connection Term Info
0x1187	1xEV Connected State Protocol Info
0x1188	1xEV Connected State TX Info
0x1189	1xEV Connected State RMAC Info
0x118A	1xEV Connected State Search Info
0x118B	1xEV FTC Physical Layer
0x118C	1xEV RTC Physical Layer
0x1192	1xEV Rev-A Single-User Forward Statistics Summary
0x1193	1xEV Rev-A Multi-User Forward Statistics Summary
0x1196	Reserved
0x1197	Reserved
0x1198	MPEG4 Clip Statistics Ver3
0x1199	Mobile IP Performance
0x119A	Srch TNG Finger Status
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x119B	Srch TNG 1x Searcher Dump
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x119C	Srch TNG General Status
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x119D	Srch TNG Demod Info
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x119E	Srch TNG Sleep Stats
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x119F	Srch TNG Quick Paging Channel Info
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
